央视频道,#genre#
CCTV-1 综合,http://58.254.14.99:808/hls/1/index.m3u8
CCTV-2 财经,http://58.254.14.99:808/hls/2/index.m3u8
CCTV-3 综艺,http://58.254.14.99:808/hls/3/index.m3u8
CCTV-4 中文国际,http://58.254.14.99:808/hls/4/index.m3u8
CCTV-5 体育,http://58.254.14.99:808/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://58.254.14.99:808/hls/99/index.m3u8
CCTV-6 电影,http://58.254.14.99:808/hls/6/index.m3u8
CCTV-7 国防军事,http://58.254.14.99:808/hls/7/index.m3u8
CCTV-8 电视剧,http://58.254.14.99:808/hls/8/index.m3u8
CCTV-9 纪录,http://58.254.14.99:808/hls/9/index.m3u8
CCTV-10 科教,http://58.254.14.99:808/hls/10/index.m3u8
CCTV-11 戏曲,http://58.254.14.99:808/hls/11/index.m3u8
CCTV-12 社会与法,http://58.254.14.99:808/hls/12/index.m3u8
CCTV-13 新闻,http://58.254.14.99:808/hls/13/index.m3u8
CCTV-14 少儿,http://58.254.14.99:808/hls/14/index.m3u8
CCTV-15 音乐,http://58.254.14.99:808/hls/15/index.m3u8

CCTV-1 综合,http://123.113.44.64:3527/rtp/239.3.1.129:8008
CCTV-2 财经,http://123.113.44.64:3527/rtp/239.3.1.60:8084
CCTV-3 综艺,http://123.113.44.64:3527/rtp/239.3.1.172:8001
CCTV-4 中文国际,http://123.113.44.64:3527/rtp/239.3.1.105:8092
CCTV-5 体育,http://123.113.44.64:3527/rtp/239.3.1.173:8001
CCTV-5+ 体育赛事,http://123.113.44.64:3527/rtp/239.3.1.130:8004
CCTV-6 电影,http://123.113.44.64:3527/rtp/239.3.1.174:8001
CCTV-7 国防军事,http://123.113.44.64:3527/rtp/239.3.1.61:8104
CCTV-8 电视剧,http://123.113.44.64:3527/rtp/239.3.1.175:8001
CCTV-9 纪录,http://123.113.44.64:3527/rtp/239.3.1.62:8112
CCTV-10 科教,http://123.113.44.64:3527/rtp/239.3.1.63:8116
CCTV-11 戏曲,http://123.113.44.64:3527/rtp/239.3.1.152:8120
CCTV-12 社会与法,http://123.113.44.64:3527/rtp/239.3.1.64:8124
CCTV-13 新闻,http://123.113.44.64:3527/rtp/239.3.1.124:8128
CCTV-14 少儿,http://123.113.44.64:3527/rtp/239.3.1.65:8132
CCTV-15 音乐,http://123.113.44.64:3527/rtp/239.3.1.153:8136
CCTV-16 奥林匹克,http://123.113.44.64:3527/rtp/239.3.1.184:8001
